Price	ticker	interval	path_stra	path_candle	pine_path	Net Profit_usd	Full Indicator Name	key_techs	Name	Index	Net Profit_per	Trade Activity Per Candle	Total Closed Trades	Percent Profitable_per	Profit Factor	Max Drawdown_usd	Max Drawdown_per	Avg Trade_usd	Avg Trade_per	Avg # Bars in Trades	Release date	months_trained	id_model	path_ico	path_ico_big	pine_path_shadow	n_candles	Precision f1_per	Tree Deep
79	AMZN	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AMZN_1Day_2BB0_b8356da2_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AMZN_1Day_2BB0_b8356da2_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\AMZN_1Day_2BB0_de5_q0.796_idb8356da2.pine.java	710576.58	Bollinger_Bands & Bull_Bear_Power Combined	2BB0	Amazon.com	NASDAQ	71.06	0.042	91.0	100.0		2214	0.13	7808	51040.36	4174.0	2024-09-27	103	b8356da2	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AMZN.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AMZN_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QU1aTiAtIDFEYXkgLSAyQkIwIC0gYjgzNTZkYTI.pine	2180.0	66.7	5
79	AMZN	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AMZN_1Day_1T00_912096cc_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AMZN_1Day_1T00_912096cc_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\AMZN_1Day_1T00_de5_q0.892_id912096cc.pine.java	721958.2	Triple Exponential Moving Average (TEMA)	1T00	Amazon.com	NASDAQ	72.2	0.039	85.0	100.0		1324	0.13	8493	47646.12	3706.0	2024-09-27	104	912096cc	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AMZN.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AMZN_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QU1aTiAtIDFEYXkgLSAxVDAwIC0gOTEyMDk2Y2M.pine	2199.0	65.4	5
79	ADBE	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/ADBE_1Day_2TV0_ca0d60fa_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/ADBE_1Day_2TV0_ca0d60fa_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\ADBE_1Day_2TV0_de5_q0.935_idca0d60fa.pine.java	781447.6	Triple_EMA & Vortex_Indicator Combined	2TV0	Adobe	NASDAQ	78.14	0.05	109.0	97.25	962.628	899	0.07	7169	43302.55	5279.0	2024-09-27	104	ca0d60fa	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/ADBE.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/ADBE_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QURCRSAtIDFEYXkgLSAyVFYwIC0gY2EwZDYwZmE.pine	2185.0	66.6	5
79	AAPL	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AAPL_1Day_2CT0_8a979adf_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AAPL_1Day_2CT0_8a979adf_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\AAPL_1Day_2CT0_de5_q0.855_id8a979adf.pine.java	857985.34	Chaikin_Money_Flow & Triple_EMA Combined	2CT0	Apple	NASDAQ	85.8	0.073	160.0	99.38		3078	0.31	5362	42086.46	7235.0	2024-09-27	103	8a979adf	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AAPL.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AAPL_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QUFQTCAtIDFEYXkgLSAyQ1QwIC0gOGE5NzlhZGY.pine	2180.0	63.1	5
79	NVDA	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/NVDA_1Day_1ULT_e46cc337_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/NVDA_1Day_1ULT_e46cc337_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\NVDA_1Day_1ULT_de5_q0.973_ide46cc337.pine.java	835728.6	CM Ultimate MA MTF V2	1ULT	NVIDIA Corporation	NASDAQ	83.57	0.04	87.0	97.7	553.121	2814	0.26	9606	37236.31	4520.0	2024-09-27	102	e46cc337	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/NVDA.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/NVDA_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/TlZEQSAtIDFEYXkgLSAxVUxUIC0gZTQ2Y2MzMzc.pine	2150.0	66.0	5
79	AAPL	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AAPL_1Day_2TV0_cb07aedb_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AAPL_1Day_2TV0_cb07aedb_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\AAPL_1Day_2TV0_de5_q0.816_idcb07aedb.pine.java	740569.1	Triple_EMA & Vortex_Indicator Combined	2TV0	Apple	NASDAQ	74.06	0.062	135.0	97.04	450.336	6187	0.62	5485	29239.66	7830.0	2024-09-27	104	cb07aedb	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AAPL.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AAPL_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QUFQTCAtIDFEYXkgLSAyVFYwIC0gY2IwN2FlZGI.pine	2185.0	64.9	5
79	AMZN	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AMZN_1Day_1ICH_6c748517_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AMZN_1Day_1ICH_6c748517_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\AMZN_1Day_1ICH_de5_q1.118_id6c748517.pine.java	660360.34	Ichimoku Oscillator	1ICH	Amazon.com	NASDAQ	66.04	0.04	83.0	97.59	1335.601	1638	0.1	7956	28809.48	3515.0	2024-08-21	99	6c748517	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AMZN.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AMZN_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QU1aTiAtIDFEYXkgLSAxSUNIIC0gNmM3NDg1MTc.pine	2096.0	64.7	5
79	AAPL	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AAPL_1Day_1T00_e410a18a_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AAPL_1Day_1T00_e410a18a_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\AAPL_1Day_1T00_de5_q0.849_ide410a18a.pine.java	717238.26	Triple Exponential Moving Average (TEMA)	1T00	Apple	NASDAQ	71.72	0.063	138.0	97.83	1178.499	6187	0.62	5197	25865.82	7442.0	2024-09-27	104	e410a18a	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AAPL.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AAPL_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QUFQTCAtIDFEYXkgLSAxVDAwIC0gZTQxMGExOGE.pine	2199.0	61.0	5
79	ADBE	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/ADBE_1Day_1MAD_a9d97a00_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/ADBE_1Day_1MAD_a9d97a00_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\ADBE_1Day_1MAD_de5_q0.946_ida9d97a00.pine.java	666072.96	Madrid Moving Average Ribbon	1MAD	Adobe	NASDAQ	66.61	0.049	107.0	99.07	2416.058	1097	0.07	6224	25406.74	5176.0	2024-09-27	104	a9d97a00	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/ADBE.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/ADBE_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QURCRSAtIDFEYXkgLSAxTUFEIC0gYTlkOTdhMDA.pine	2199.0	62.7	5
79	AAPL	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AAPL_1Day_2BT0_ad8d1a00_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AAPL_1Day_2BT0_ad8d1a00_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\AAPL_1Day_2BT0_de5_q0.834_idad8d1a00.pine.java	710117.13	Bull_Bear_Power & Triple_EMA Combined	2BT0	Apple	NASDAQ	71.01	0.065	144.0	97.92	901.821	6187	0.62	4931	23386.28	6994.0	2024-09-27	104	ad8d1a00	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AAPL.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AAPL_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QUFQTCAtIDFEYXkgLSAyQlQwIC0gYWQ4ZDFhMDA.pine	2199.0	62.5	5
